food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
scots kale raw,28,0.4,0.072,0.0,0.059
artichoke raw,60,0.2,0.056,1.3,0.1
navy bean sprouts raw,70,0.7,0.05,0.0,0.063
sweet pickles,146,0.7,0.1,29.2,0.7
oriental radish cooked,25,0.4,0.1,2.7,0.4
sweet potato leaves raw,15,0.2,0.088,0.0,0.073
irishmoss,2,0.049,0.06,0.098,0.084
drumstick leaves cooked,25,0.4,0.0,0.4,0.1
winter squash raw,39,0.2,0.019,2.6,0.027
pumpkin raw,30,0.1,0.065,3.2,0.062
chicory greens,7,0.096,0.078,0.2,0.017
spinach cooked,41,0.5,0.042,0.8,0.1
radish pickled,42,0.5,0.1,3.0,1.2
sweet onion,106,0.3,0.0,16.6,0.063
salsify cooked,92,0.2,0.0,3.9,0.028
radish seeds sprouted,16,1.0,0.3,0.0,0.067
turnips raw,51,0.2,0.074,7.0,0.1
burdock root raw,85,0.2,0.069,3.4,0.008
red cabbage cooked,49,0.2,0.058,5.6,0.047
jute raw,10,0.046,0.0,0.0,0.042
hot chile pepper dried,2,0.054,0.001,0.2,0.041
salsify raw,109,0.3,0.0,0.0,0.093
crookneck squash raw,24,0.3,0.1,4.5,0.047
indian squash cooked,38,0.4,0.0,4.7,0.0
poi,269,0.3,0.063,0.9,0.091
sesbania flower cooked,22,0.007,0.0,0.0,0.3
acorn squash cooked,115,0.3,0.023,0.0,0.5
cauliflower cooked,29,0.6,0.055,2.6,0.094
crookneck squash cooked,34,0.7,0.1,4.5,0.4
laver seaweed,1,0.012,0.066,0.071,0.075
mountain yam cooked,119,0.1,0.014,0.0,0.4
pumpkin flowers raw,5,0.084,0.049,0.0,0.066
mustard greens raw,15,0.2,0.072,0.7,0.004
arrowhead,12,0.084,0.0,0.0,0.082
japanese cabbage,45,0.2,0.092,2.0,0.4
mung bean sprouts cooked,24,0.1,0.05,3.5,0.3
scallop squash cooked,29,0.3,0.034,2.7,0.4
pumpkin leaves cooked,15,0.2,0.092,0.5,0.2
hungarian pepper,8,0.1,0.082,1.0,0.028
sweet potato baked,103,0.2,0.013,7.4,0.07
chinese cabbage pe tsai raw,12,0.2,0.033,1.1,0.049
taro raw,116,0.2,0.099,0.4,0.054
yam bean jicama,49,0.1,0.061,2.3,0.047
olives,10,0.9,0.2,0.0,0.001
mustard greens cooked,36,0.7,0.053,2.0,0.4
pumpkin flowers cooked,20,0.1,0.057,3.2,0.082
tree fern cooked,57,0.096,0.0,0.0,0.3
yellow corn raw,606,7.9,1.1,1.1,0.06
endive,9,0.1,0.022,0.1,0.08
wakame,36,0.5,0.1,0.5,0.7
tahitian taro raw,55,1.2,0.2,0.0,0.003
broccoli raw,31,0.3,0.053,1.5,0.049
sweet green peppers raw,30,0.3,0.053,3.6,0.023
chinese cabbage pak choi cooked,20,0.3,0.014,1.4,0.5
agar,1,0.058,0.087,0.005,0.049
watercress,4,0.006,0.071,0.099,0.038
beet greens cooked,39,0.3,0.025,0.9,0.3
winter squash cooked,76,0.7,0.1,6.8,0.068
new zealand spinach raw,8,0.1,0.077,0.2,0.017
okra,4,0.082,0.001,0.2,0.098
yautia tannier,132,0.5,0.1,0.0,0.031
mustard spinach cooked,29,0.4,0.0,0.0,0.5
rhubarb cooked,278,0.1,0.08,68.9,0.007
beets raw,58,0.2,0.028,9.2,0.1
drumstick pods raw,37,0.2,0.025,0.0,0.077
baby zucchini,2,0.089,0.02,0.0,0.041
onion raw,16,0.048,0.077,1.7,0.065
romanesco cooked,39,0.4,0.028,0.0,0.3
butternut squash raw,90,0.2,0.044,4.4,0.067
amaranth leaves,6,0.075,0.072,0.0,0.071
turnip greens raw,18,0.2,0.009,0.4,0.012
spaghetti squash raw,31,0.6,0.1,2.8,0.081
seaweed dry,52,0.3,0.006,0.0,0.9
yam cooked,158,0.2,0.061,0.7,0.017
corn dried,119,3.0,0.6,6.0,0.029
cucumber,23,0.2,0.068,2.5,0.061
arrowroot,78,0.2,0.094,0.0,0.052
cardoon raw,30,0.2,0.072,0.0,0.3
bamboo shoots cooked,14,0.3,0.007,0.0,0.04
summer squash raw,42,0.5,0.1,5.7,0.051
sweet potato raw,112,0.002,0.036,5.4,0.079
green tomato,42,0.4,0.024,7.3,0.055
beet greens raw,8,0.078,0.026,0.2,0.013
savoy cabbage cooked,41,0.2,0.076,0.0,0.05
witloof chicory,9,0.031,0.076,0.0,0.022
turnips cooked,34,0.1,0.082,4.7,0.017
dried tomatoes,5,0.053,0.032,0.8,0.069
radicchio,15,0.2,0.031,0.4,0.033
mixed vegetables cooked,118,0.3,0.0,5.7,0.089
yellow tomato,32,0.6,0.03,0.0,0.088
cardoon cooked,26,0.1,0.014,0.0,0.2
spinach raw,7,0.1,0.024,0.1,0.036
kale raw,7,0.3,0.057,0.2,0.045
drumstick pods cooked,42,0.2,0.0,0.0,0.3
kohlrabi raw,72,0.3,0.007,6.9,0.063
lentil sprouts,82,0.4,0.067,0.0,0.044
carrots raw,25,0.1,0.046,2.9,0.024
red chili peppers,18,0.2,0.088,2.4,0.03
fennel,73,0.5,0.0,0.0,0.1
sweet corn white,63,0.9,0.1,2.4,0.016
celeriac raw,66,0.5,0.1,2.5,0.2
hubbard squash raw,46,0.6,0.1,4.6,0.094
brussels sprouts cooked,8,0.1,0.099,0.4,0.051
carrots cooked,16,0.092,0.096,1.6,0.025
lambs quarters raw,0,0.067,0.0,0.0,0.033
lotus root cooked,6,0.056,0.029,0.0,0.0
split peas raw,672,2.3,0.3,15.8,0.075
scots kale cooked,36,0.5,0.014,0.0,0.4
corn cooked,99,1.5,0.2,4.7,0.039
radish raw,1,0.026,0.084,0.066,0.033
stinging nettles,37,0.007,0.0,0.2,0.09
baby carrots,5,0.053,0.015,0.7,0.097
sweet yellow peppers,50,0.4,0.012,0.0,0.017
taro leaves raw,12,0.2,0.013,0.8,0.083
corn raw,123,1.9,0.5,9.0,0.083
roselle,28,0.4,0.0,0.0,0.079
drumstick leaves raw,13,0.3,0.0,0.0,0.071
scallop squash raw,23,0.3,0.097,3.1,0.075
chicory roots,65,0.2,0.052,7.9,0.055
brussels sprouts raw,8,0.077,0.072,0.4,0.049
kale cooked,42,1.4,0.2,1.4,0.018
pupusas con frijoles,289,11.4,2.8,1.6,0.4
mustard cabbage,36,0.1,0.016,1.8,0.9
gourd raw,19,0.2,0.07,1.9,0.03
butternut squash cooked,80,0.2,0.013,3.9,0.002
burdock root cooked,146,0.2,0.0,5.9,0.4
cassava,330,0.6,0.2,3.5,0.099
peas carrots cooked,77,0.7,0.1,7.0,0.5
romaine lettuce,8,0.1,0.049,0.6,0.083
yam raw,177,0.3,0.067,0.8,0.017
chowchow pickles,296,2.2,0.4,58.5,1.3
prairie turnips raw,20,0.029,0.0,0.1,0.059
savoy cabbage raw,19,0.017,0.091,1.6,0.007
celery raw,6,0.045,0.005,0.5,0.019
celeriac cooked,42,0.3,0.0,0.0,0.084
mustard spinach raw,33,0.5,0.087,0.0,0.025
zucchini raw,44,0.8,0.2,6.5,0.023
okra cooked,35,0.3,0.032,3.8,0.4
white icicle radish,14,0.1,0.076,0.0,0.049
orange tomato,18,0.2,0.097,0.0,0.001
pumpkin leaves raw,7,0.2,0.053,0.0,0.057
spaghetti squash cooked,42,0.4,0.091,3.9,0.4
white corn cooked,100,1.5,0.2,8.0,0.082
artichoke cooked,64,0.4,0.059,1.2,0.087
avocado,432,39.6,5.7,1.8,0.045
string beans wellsley farms,8,0.0,0.0,0.3,0.0
lambs quarters cooked,58,1.3,0.085,1.1,0.5
peas cooked,134,0.4,0.065,9.5,0.074
beets cooked,22,0.085,0.026,4.0,0.035
shallots dried,3,0.013,0.063,0.3,0.059
green lettuce,23,0.2,0.027,1.2,0.05
kohlrabi cooked,48,0.2,0.041,4.6,0.035
kanpyo dried,139,0.3,0.041,0.0,0.056
prairie turnips boiled,18,0.086,0.0,0.7,0.012
broccoli raab cooked,21,0.4,0.086,0.5,0.077
summer squash cooked,49,1.0,0.2,6.4,0.036
taro cooked,187,0.1,0.012,0.6,0.055
spring onion scallions,6,0.077,0.029,0.5,0.048
hubbard squash cooked,57,0.7,0.1,5.6,0.5
jalapeno pepper,4,0.002,0.06,0.6,0.028
new zealand spinach cooked,22,0.3,0.027,0.5,0.6
sesbania flower raw,1,0.095,0.0,0.0,0.007
spirulina dried,20,0.5,0.2,0.2,0.031
chinese cabbage pe tsai cooked,17,0.2,0.011,0.0,0.3
zucchini cooked,27,0.6,0.1,3.1,0.077
green olives pickled,4,0.4,0.064,0.051,0.1
lotus root raw,85,0.1,0.057,0.0,0.06
grape leaves,13,0.3,0.085,0.9,0.005
dill pickled cucumber,17,0.2,0.08,1.9,1.3
skunk cabbage,11,0.1,0.0,0.0,0.016
banana pepper,9,0.1,0.018,0.6,0.039
oriental radish raw,61,0.3,0.1,8.5,0.014
purslane cooked,21,0.2,0.0,0.0,0.3
rhubarb raw,11,0.1,0.043,0.6,0.058
swamp cabbage,20,0.2,0.0,0.0,0.4
mung bean sprouts raw,6,0.044,0.036,0.8,0.08
onion cooked,7,0.034,0.095,0.7,0.04
swiss chard raw,7,0.042,0.065,0.4,0.089
peas raw,117,0.6,0.1,8.2,0.017
cabbage cooked,35,0.019,0.0,4.2,0.011
taro leaves cooked,35,0.6,0.1,0.0,0.3
leeks cooked,38,0.2,0.086,2.6,0.067
split peas cooked,227,0.8,0.1,5.7,0.5
sweet corn yellow,58,0.4,0.029,2.6,0.05
asparagus raw,2,0.037,0.012,0.2,0.047
collard cooked,63,1.4,0.049,0.0,0.013
swiss chard cooked,35,0.1,0.0,1.9,0.7
nopales cooked,22,0.003,0.064,1.7,0.087
tahitian taro cooked,60,0.9,0.2,0.0,0.4
chinese cabbage pak choi raw,9,0.1,0.013,0.8,0.087
green chili pepper,18,0.097,0.067,2.3,0.023
mountain yam raw,91,0.1,0.015,0.4,0.021
parsnips cooked,114,0.5,0.081,7.7,0.021
tomato stewed,97,3.3,0.6,0.0,0.6
sweet green peppers cooked,19,0.1,0.037,2.3,0.2
white corn raw,143,2.0,0.3,5.3,0.088
rutabaga raw,286,1.2,0.2,34.4,0.061
jalapeno peppers canned,37,1.3,0.1,2.9,2.3
pumpkin canned,83,0.7,0.4,8.1,0.6
peas onions canned,61,0.5,0.064,0.0,0.5
sweet mashed potato canned,258,0.5,0.1,13.9,0.2
hominy canned,119,1.5,0.2,3.0,0.6
tomato puree canned,95,0.5,0.098,12.1,0.002
dried tomatoes canned in oil,6,0.4,0.072,0.0,0.056
mixed vegetables canned,88,0.6,0.1,0.0,0.5
straw mushrooms canned,2,0.09,0.1,0.0,0.049
capers canned,2,0.089,0.021,0.011,0.2
red peppers canned,15,0.058,0.03,2.4,0.9
carrots canned,104,0.6,0.1,11.2,0.2
tomatoes in tomato juice canned,41,0.3,0.08,5.7,0.3
asparagus canned,62,0.7,0.2,4.1,0.1
sweet red peppers canned,25,0.4,0.013,0.0,1.9
onions canned,12,0.084,0.045,1.4,0.2
turnip greens canned,27,0.4,0.1,0.6,0.082
hearts of palm,9,0.2,0.056,0.0,0.1
spinach canned,44,0.9,0.1,0.0,0.7
sweet potato canned,568,1.3,0.3,98.3,0.3
corn canned,49,0.6,0.032,3.3,0.2
peas carrots canned,97,0.7,0.1,7.2,0.7
crookneck squash canned,27,0.1,0.088,2.5,0.006
tomatoes canned,77,0.7,0.062,10.6,0.3
pimento canned,44,0.6,0.004,5.2,0.006
sweet green peppers canned,25,0.4,0.037,0.0,1.9
peas canned,57,0.8,0.1,0.0,0.2
chili peppers canned,29,0.4,0.013,0.0,0.6
green peppers canned,15,0.074,0.096,2.3,0.9
grape leaves canned,20,0.6,0.065,0.0,0.8
sauerkraut canned,27,0.2,0.023,2.5,0.9
beets canned,69,0.2,0.017,13.2,0.02
stewed tomatoes canned,66,0.5,0.078,9.0,0.6
tomato paste canned,215,1.2,0.3,31.9,2.1
bacon ranch salad mcdonalds,389,20.1,5.2,4.9,0.9
caesar salad with grilled chicken mcdonalds,201,5.6,3.0,4.8,0.6
caesar salad mcdonalds,94,4.4,2.5,4.4,0.2
vegetable salad,22,0.054,0.053,0.0,0.025
vegetable salad with chicken,70,1.5,0.4,0.0,0.1
potato salad,358,20.5,3.6,0.0,1.3
taco salad taco bell,906,48.9,15.9,0.0,1.9
iceberg lettuce,8,0.045,0.089,1.1,0.022
cornsalad,12,0.2,0.0,0.0,0.067
potato salad with egg,393,23.5,3.6,12.4,0.8
side salad mcdonalds,17,0.2,0.014,1.9,0.037
caesar salad with crispy chicken mcdonalds,349,16.4,4.3,4.5,0.7
grape apple salad with walnuts,191,8.2,1.1,20.3,0.087
vegetable salad with cheese egg,68,3.9,2.0,0.0,0.044
celtuce,1,0.088,0.0,0.0,0.094
arugula,5,0.1,0.029,0.4,0.018
vegetable salad with shrimp,71,1.7,0.4,0.0,0.3
coleslaw,292,18.9,3.1,23.3,0.4
shiitake mushrooms cooked,10,0.007,0.061,0.7,0.048
shiitake mushrooms raw,6,0.039,0.0,0.5,0.096
crimini mushrooms,1,0.018,0.054,0.1,0.086
mushrooms raw,15,0.2,0.052,1.4,0.053
portabella mushrooms grilled,35,0.7,0.023,2.7,0.047
maitake mushrooms,0,0.017,0.011,0.043,0.059
shiitake mushrooms dried,11,0.061,0.014,0.046,0.086
chanterelle mushrooms,2,0.063,0.0,0.076,0.028
cloud ear fungus dried,80,0.2,0.0,0.0,0.036
mushrooms cooked,44,0.7,0.05,3.7,0.011
pepeao dried,72,0.1,0.0,0.0,0.072
truffles,61,4.1,2.2,4.6,0.034
jews ear,25,0.095,0.0,0.0,0.027
enoki mushrooms,1,0.099,0.027,0.034,0.084
morel mushrooms,4,0.07,0.056,0.096,0.08
portabella mushrooms raw,19,0.3,0.036,2.2,0.014
oyster mushroom,5,0.035,0.016,0.2,0.098
